tablescraper-selected-row	tablescraper-selected-row 2	tablescraper-selected-row 3	tablescraper-selected-row href
Place Name	Latitude	Longitude	
Makasar, East Jakarta City, Jakarta, Indonesia	-6.271194	106.894547	https://www.latlong.net/place/makasar-east-jakarta-city-jakarta-indonesia-4271.html
Cirebon, Cirebon City, West Java, Indonesia	-6.737246	108.550659	https://www.latlong.net/place/cirebon-cirebon-city-west-java-indonesia-3865.html
Palembang, Indonesia	-2.990934	104.756554	https://www.latlong.net/place/palembang-indonesia-3864.html
Medan, North Sumatra, Indonesia	3.597031	98.678513	https://www.latlong.net/place/medan-north-sumatra-indonesia-3617.html
Kediri, East Java, Indonesia	-7.82284	112.011864	https://www.latlong.net/place/kediri-east-java-indonesia-3494.html
Bekasi, West Java, Indonesia	-6.241586	106.992416	https://www.latlong.net/place/bekasi-west-java-indonesia-3406.html
Surabaya, East Java, Indonesia	-7.250445	112.768845	https://www.latlong.net/place/surabaya-east-java-indonesia-3387.html
Kanigoro, Blitar, East Java, Indonesia	-8.121262	112.205429	https://www.latlong.net/place/kanigoro-blitar-east-java-indonesia-3379.html
Balaraja, Tangerang, Banten, Indonesia	-6.199264	106.469193	https://www.latlong.net/place/balaraja-tangerang-banten-indonesia-3340.html
Jombang, East Java, Indonesia	-7.546839	112.226479	https://www.latlong.net/place/jombang-east-java-indonesia-3306.html
Batu, East Java, Indonesia	-7.8671	112.523903	https://www.latlong.net/place/batu-east-java-indonesia-3236.html
Lawang, Malang, Indonesia	-7.830759	112.697098	https://www.latlong.net/place/lawang-malang-indonesia-3235.html
Purwokerto, Banyumas, Central Java, Indonesia	-7.431391	109.247833	https://www.latlong.net/place/purwokerto-banyumas-central-java-indonesia-3223.html
Praya, Semayan, Central Lombok, Indonesia	-8.72174	116.288597	https://www.latlong.net/place/praya-semayan-central-lombok-indonesia-3221.html
Manokwari, West Papua, Indonesia	-0.861453	134.062042	https://www.latlong.net/place/manokwari-west-papua-indonesia-3190.html
Gorontalo City, Gorontalo, Indonesia	0.556174	123.058548	https://www.latlong.net/place/gorontalo-city-gorontalo-indonesia-3162.html
Selong, East Lombok, West Nusa Tenggara, Indonesia	-8.646535	116.530434	https://www.latlong.net/place/selong-east-lombok-west-nusa-tenggara-indonesia-3158.html
Pekanbaru, Pekanbaru City, Riau, Indonesia	0.533505	101.447403	https://www.latlong.net/place/pekanbaru-pekanbaru-city-riau-indonesia-3122.html
Yogyakarta City, Indonesia	-7.797068	110.370529	https://www.latlong.net/place/yogyakarta-city-indonesia-3080.html
Malang, East Java, Indonesia	-7.983908	112.621391	https://www.latlong.net/place/malang-east-java-indonesia-3075.html
Pariaman, West Sumatra, Indonesia	-0.626439	100.117958	https://www.latlong.net/place/pariaman-west-sumatra-indonesia-3052.html
Bandung, West Java, Indonesia	-6.914864	107.608238	https://www.latlong.net/place/bandung-west-java-indonesia-3025.html
Cibodas, Cianjur, West Java, Indonesia	-6.734679	107.041252	https://www.latlong.net/place/cibodas-cianjur-west-java-indonesia-2750.html
Garut, Indonesia	-7.227906	107.908699	https://www.latlong.net/place/garut-indonesia-2456.html
Probolinggo, Probolinggo City, East Java, Indonesia	-7.756928	113.211502	https://www.latlong.net/place/probolinggo-probolinggo-city-east-java-indonesia-2431.html
Bandar Lampung, Lampung, Indonesia	-5.45	105.26667	https://www.latlong.net/place/bandar-lampung-lampung-indonesia-2234.html
Depok, West Java, Indonesia	-6.385589	106.830711	https://www.latlong.net/place/depok-west-java-indonesia-1786.html
Bandung, West Java, Indonesia	-6.905977	107.613144	https://www.latlong.net/place/bandung-west-java-indonesia-1667.html
Tasikmalaya, West Java, Indonesia	-7.319563	108.202972	https://www.latlong.net/place/tasikmalaya-west-java-indonesia-1359.html
Sibolga, Sibolga City, North Sumatra, Indonesia	1.749987	98.776703	https://www.latlong.net/place/sibolga-sibolga-city-north-sumatra-indonesia-1335.html
Cibubur, Depok, West Java, Indonesia	-6.373519	106.875984	https://www.latlong.net/place/cibubur-depok-west-java-indonesia-1315.html
Bandung, West Java, Indonesia	-6.914744	107.60981	https://www.latlong.net/place/bandung-west-java-indonesia-1200.html
Maumere, Baru City, East Alok, Sikka, Indonesia	-8.625253	122.221458	https://www.latlong.net/place/maumere-baru-city-east-alok-sikka-indonesia-1118.html
Indramayu, West Java, Republic of Indonesia.	-6.327583	108.324936	https://www.latlong.net/place/indramayu-west-java-republic-of-indonesia-917.html
Sukabumi, West Java, Republic of Indonesia	-6.9237	106.928726	https://www.latlong.net/place/sukabumi-west-java-republic-of-indonesia-906.html
Batam, Indonesia	1.082828	104.030457	https://www.latlong.net/place/batam-indonesia-899.html
Binjai, North Sumatra, Republic of Indonesia	3.598401	98.489166	https://www.latlong.net/place/binjai-north-sumatra-republic-of-indonesia-880.html
Cianjur, West Java, Republic of Indonesia	-6.820762	107.14296	https://www.latlong.net/place/cianjur-west-java-republic-of-indonesia-875.html
Pekanbaru, Riau, Indonesia	0.51044	101.438309	https://www.latlong.net/place/pekanbaru-riau-indonesia-748.html
Martapura, South Kalimantan, Indonesia	-3.409927	114.847298	https://www.latlong.net/place/martapura-south-kalimantan-indonesia-737.html
Balikpapan, Indonesia	-1.26916	116.825264	https://www.latlong.net/place/balikpapan-indonesia-603.html
Pekalongan, Indonesia	-6.888701	109.668289	https://www.latlong.net/place/pekalongan-indonesia-545.html
Balikpapan, Indonesia	-1.265386	116.8312	https://www.latlong.net/place/balikpapan-indonesia-457.html
